Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
10,1591.0,4,0,37926,10,526,1,949000.0,2017,5,0
29,2755.0,1,0,45000,10,973,1,1850000.0,2016,7,0
26,999.0,4,0,14777,10,1714,3,570000.0,2021,7,0
10,1197.0,4,1,22660,10,823,1,475000.0,2019,5,1
19,1462.0,4,3,33827,10,375,1,739000.0,2021,5,0
27,1968.0,1,1,84000,10,1187,3,699000.0,2016,5,0
15,2993.0,1,1,55752,10,1296,3,2199000.0,2013,5,0
27,1498.0,4,0,14000,10,1488,1,1650000.0,2024,5,0
19,998.0,4,0,1500,10,1878,1,700000.0,2024,5,1
28,1199.0,4,0,15000,10,1164,1,1145000.0,2022,5,1
19,998.0,0,1,94469,10,1864,1,430000.0,2019,5,1
10,1591.0,4,0,45000,10,531,1,945000.0,2019,5,1
1,1995.0,1,1,71300,10,28,3,2000000.0,2016,5,0
31,1969.0,1,1,48000,10,1933,1,4595000.0,2016,7,0
29,1496.0,4,0,35000,10,2034,1,745000.0,2018,5,0
29,2494.0,1,0,92000,10,936,1,875000.0,2015,7,1
10,1197.0,4,1,30300,10,2021,3,425000.0,2015,5,1
21,2143.0,1,1,29000,10,454,1,2100000.0,2019,5,0
1,1995.0,1,0,10000,10,1898,1,3845000.000000001,2022,5,0
9,1497.0,4,1,62188,10,432,1,525000.0,2015,5,1
10,1197.0,4,0,38148,10,821,3,381000.0,2017,5,1
29,1197.0,4,3,15541,10,804,1,790000.0,2022,5,1
9,1497.0,4,3,40000,10,439,1,695000.0,2017,5,0
26,999.0,4,0,14438,10,1712,1,649000.0,2020,7,1
10,1197.0,4,1,39542,10,829,3,392000.0,2016,5,0
9,1199.0,4,1,47000,10,993,1,699000.0,2019,5,0
14,1493.0,1,1,50154,10,1498,1,1250000.0,2021,5,0
29,2494.0,1,0,90000,10,953,1,925000.0,2014,7,1
30,1598.0,4,2,78039,10,1739,3,395000.0,2014,5,1
1,2993.0,1,0,29500,10,1928,1,10400000.0,2023,7,0
19,1373.0,4,2,82150,10,702,3,525000.0,2012,7,1
17,1451.0,4,3,48019,10,887,1,1218000.0,2020,5,0
10,998.0,4,0,12000,10,1775,1,1025000.0,2022,5,1
1,1995.0,1,0,75000,10,55,1,3525000.0,2019,5,0
28,1199.0,4,1,69105,10,1685,1,450000.0,2019,5,0
14,1493.0,1,1,35000,10,1466,1,1750000.0,2021,5,0
28,1997.0,2,0,16000,10,1148,1,1025000.0,2022,5,0
18,1997.0,1,0,84962,10,1981,1,872000.0000000001,2017,7,0
0,1781.0,4,1,43000,10,94,1,775000.0,2011,5,0
9,1497.0,4,1,32419,10,439,3,630000.0,2018,5,0
24,999.0,4,0,22065,10,1100,1,526000.0,2021,5,1
10,1197.0,0,3,57014,10,848,1,641000.0,2022,5,1
8,1499.0,4,2,63500,10,651,1,491000.0,2014,5,0
9,1497.0,4,0,54000,10,430,1,475000.0,2014,5,1
30,1968.0,1,1,57000,10,1703,3,2100000.0,2018,5,0
26,999.0,4,0,33140,10,1018,3,304000.0,2021,5,1
27,1598.0,4,0,47300,10,1308,1,495000.0,2016,5,0
19,1197.0,4,0,63000,10,1888,1,521000.0,2020,5,1
21,2987.0,1,0,104000,10,1088,1,1995000.0,2015,5,0
21,1991.0,4,0,72100,10,294,1,1999000.0,2016,5,0
10,1591.0,4,0,46000,10,531,1,899000.0,2018,5,1
18,2179.0,1,0,87000,10,1986,1,821000.0000000001,2016,7,1
9,2354.0,4,0,78343,10,311,1,990000.0,2018,5,0
9,1497.0,4,3,46500,10,429,1,625000.0,2015,5,0
30,999.0,4,0,24000,10,1625,3,1275000.0,2022,5,0
18,2179.0,1,0,58000,10,1986,3,825000.0,2016,7,1
14,1497.0,4,0,4800,10,1481,1,1625000.0,2023,5,0
29,1798.0,4,0,39600,10,497,1,1025000.0,2017,5,0
8,1499.0,4,0,54391,10,652,1,501000.0,2021,5,1
14,998.0,4,3,18368,10,1505,1,995000.0,2023,5,0
14,1493.0,1,1,29384,10,1497,1,1085000.0,2020,5,1
